title,pubDate,guid,link,description
"Transfer rumours: Mbappe, Pogba, Bellingham, Henderson, Ekitike, Neves","Sun, 15 May 2022 22:13:23 GMT",https://www.bbc.co.uk/sport/61457852,https://www.bbc.co.uk/sport/61457852?at_medium=RSS&at_campaign=KARANGA,"Juventus to hold fresh Pogba talks, Mbappe to reveal future ""very soon"", Newcastle step up Henderson interest, plus more."
Brentford's Rico Henry and Ivan Toney say their families were racially abused at Everton,"Sun, 15 May 2022 21:40:40 GMT",https://www.bbc.co.uk/sport/football/61460801,https://www.bbc.co.uk/sport/football/61460801?at_medium=RSS&at_campaign=KARANGA,Everton confirm they are assisting police after two Brentford players said their families were racially abused at Goodison Park.
Tottenham: Why Antonio Conte is the key to Spurs keeping Harry Kane - Jermaine Jenas analysis,"Sun, 15 May 2022 22:55:19 GMT",https://www.bbc.co.uk/sport/football/61453166,https://www.bbc.co.uk/sport/football/61453166?at_medium=RSS&at_campaign=KARANGA,"MOTD2 pundit Jermaine Jenas says Antonio Conte staying on as manager is the key to Tottenham keeping Harry Kane, not a top-four finish this season."
Ukraine crisis: Can Africa replace Russian gas supplies to Europe?,"Sun, 15 May 2022 23:35:20 GMT",https://www.bbc.co.uk/news/world-africa-61334470,https://www.bbc.co.uk/news/world-africa-61334470?at_medium=RSS&at_campaign=KARANGA,Europe is desperately seeking alternative sources of gas after Russia's invasion of Ukraine.
Eurovision win brings 'incredible happiness' to Ukraine,"Sun, 15 May 2022 04:07:13 GMT",https://www.bbc.co.uk/news/world-europe-61442439,https://www.bbc.co.uk/news/world-europe-61442439?at_medium=RSS&at_campaign=KARANGA,Public support helped push Kalush Orchestra and their song Stefania on to win with 631 points.
Mariupol: Hundreds of besieged Ukrainian soldiers evacuated,"Tue, 17 May 2022 02:36:29 GMT",https://www.bbc.co.uk/news/world-europe-61472025,https://www.bbc.co.uk/news/world-europe-61472025?at_medium=RSS&at_campaign=KARANGA,Ukraine says 264 fighters - some badly wounded - have been taken from the Azovstal steelworks.
Jake Daniels: Blackpool player says coming out will allow him to be 'free' and 'confident',"Mon, 16 May 2022 17:50:50 GMT",https://www.bbc.co.uk/sport/football/61467159,https://www.bbc.co.uk/sport/football/61467159?at_medium=RSS&at_campaign=KARANGA,"Blackpool's Jake Daniels says his decision to come out as the UK's only openly gay active male professional footballer will allow him to be ""free and confident""."
"Northern Ireland protocol: Legislative solution needed, says PM","Mon, 16 May 2022 20:33:39 GMT",https://www.bbc.co.uk/news/uk-northern-ireland-61456677,https://www.bbc.co.uk/news/uk-northern-ireland-61456677?at_medium=RSS&at_campaign=KARANGA,Boris Johnson is accused of using soft words in a series of robust meetings with political parties.
Boris Johnson accepts Northern Ireland impasse down to Brexit deal he signed up to,"Mon, 16 May 2022 23:42:35 GMT",https://www.bbc.co.uk/news/uk-61474547,https://www.bbc.co.uk/news/uk-61474547?at_medium=RSS&at_campaign=KARANGA,"The prime minister described the EU as being ""over-zealous"" in its application of the post-Brexit trade arrangements."
Bank governor in 'apocalyptic' warning over rising food prices,"Mon, 16 May 2022 20:53:03 GMT",https://www.bbc.co.uk/news/business-61469532,https://www.bbc.co.uk/news/business-61469532?at_medium=RSS&at_campaign=KARANGA,"Surging food prices are a ""major worry"" for the UK and other countries, Andrew Bailey warns."
